Tiempo,N45,N32,N35,N36
0,0,0,0,0
15,33.53174603,43.05555556,35.11904762,51.38888889
30,48.61111111,63.88888889,55.55555556,68.45238095
45,58.53174603,73.21428571,62.3015873,77.38095238
60,67.85714286,80.55555556,69.84126984,83.73015873
75,72.22222222,81.94444444,72.42063492,88.0952381
90,76.38888889,85.31746032,75,91.66666667
105,79.56349206,88.0952381,77.57936508,95.03968254
120,82.93650794,90.27777778,77.77777778,97.02380952
150,86.30952381,90.47619048,80.35714286,97.61904762
180,88.29365079,90.07936508,80.35714286,97.42063492
210,89.28571429,92.26190476,79.96031746,98.01587302
